CODI_ENS,MUNICIPI,ANY_ELECCIO,SIGLES_CANDIDATURA,VOTS,% VOTS,REGIDORS/ES
2500190004,Abella de la Conca,2023,ERC-AM,56,0,3
2500190004,Abella de la Conca,2023,JUNTS PER ABELLA DE LA CONCA- COMPROMÍS MUNICIPAL,52,0,2
2500190004,Abella de la Conca,2023,COMPROMÍS PEL MUNICIPI - CANDIDATURA DE PROGRÉS,20,0,0
800180001,Abrera,2023,PSC-CP,2622,50.48,10
800180001,Abrera,2023,AEC - C,1090,20.98,4
800180001,Abrera,2023,ERC-AM,475,9.14,1
800180001,Abrera,2023,VOX,385,7.41,1
800180001,Abrera,2023,PP,322,6.19,1
800180001,Abrera,2023,CM,232,4.46,0
2500240003,Àger,2023,CM,219,56.29,5
2500240003,Àger,2023,IxA-AM,119,30.59,2
2500240003,Àger,2023,AxA - AMUNT,43,11.05,0
2500300000,Agramunt,2023,AD¿E - AM,1258,61.51,9
2500300000,Agramunt,2023,CM,429,20.97,3
2500300000,Agramunt,2023,PSC-CP,217,10.61,1
2500300000,Agramunt,2023,PDeCAT-ARA PL,71,3.47,0
800230008,Aguilar de Segarra,2023,U x A,142,98.61,7
1700100000,Agullana,2023,CM,277,58.31,5
1700100000,Agullana,2023,CC-TE,99,20.84,1
1700100000,Agullana,2023,ERC-AM,93,19.57,1
801420002,Aiguafreda,2023,CM,594,52.28,6
801420002,Aiguafreda,2023,VA-ERC-AM,397,34.94,4
801420002,Aiguafreda,2023,PP,98,8.62,1
4300170005,Aiguamúrcia,2023,IMA - C,145,68.39,5
4300170005,Aiguamúrcia,2023,CM,61,28.77,2
1700250006,Aiguaviva,2023,ERC-AM,187,42.3,3
1700250006,Aiguaviva,2023,CM,131,29.63,2
1700250006,Aiguaviva,2023,PIA,107,24.2,2
1700250006,Aiguaviva,2023,PSC-CP,9,2.03,0
2503870005,Aitona,2023,ARA PL,725,61.96,8
2503870005,Aitona,2023,AR-AM,358,30.59,3
2503870005,Aitona,2023,PP,70,5.98,0
2500450006,Els Alamús,2023,TxEA - AM,264,63,5
2500450006,Els Alamús,2023,PxEA - CP,138,32.93,2
2500450006,Els Alamús,2023,Cs,7,1.67,0
2500580001,Alàs i Cerc,2023,CM,103,55.97,4
2500580001,Alàs i Cerc,2023,CxAC - CP,78,42.39,3
2500610007,L'Albagés,2023,AA-xtu,162,72.32,6
2500610007,L'Albagés,2023,CM,44,19.64,1
1700310007,Albanyà,2023,CM,44,0,4
1700310007,Albanyà,2023,SA-AM,44,0,1
1700310007,Albanyà,2023,SBALL - TE,30,0,0
1700310007,Albanyà,2023,CUP-SP-AMUNT,21,0,0
1700310007,Albanyà,2023,PSC-CP,0,0,0
2500770005,Albatàrrec,2023,CM,404,48.55,6
2500770005,Albatàrrec,2023,ERC-AM,333,40.02,5
2500770005,Albatàrrec,2023,PSC-CP,55,6.61,0
2500770005,Albatàrrec,2023,PP,10,1.2,0
2500830008,Albesa,2023,CM,416,50.54,5
