Any,Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més
2019,250019,Abella de la Conca,10,64,22,9,53,21,19,117,43
2019,080018,Abrera,1205,4243,878,1105,4054,1004,2310,8297,1882
2019,250024,Àger,25,208,87,24,155,89,49,363,176
2019,250030,Agramunt,412,1806,471,426,1660,596,838,3466,1067
2019,080023,Aguilar de Segarra,27,98,30,27,82,24,54,180,54
2019,170010,Agullana,57,266,88,70,257,93,127,523,181
2019,080142,Aiguafreda,165,812,231,178,790,328,343,1602,559
2019,430017,Aiguamúrcia,59,303,103,71,271,94,130,574,197
2019,170025,Aiguaviva,73,250,60,75,240,58,148,490,118
2019,250387,Aitona,211,890,257,179,723,331,390,1613,588
2019,250045,"Alamús, els",56,270,86,60,262,85,116,532,171
2019,250058,Alàs i Cerc,20,104,47,19,85,54,39,189,101
2019,250061,"Albagés, l'",17,124,53,15,104,56,32,228,109
2019,170031,Albanyà,15,52,13,19,47,11,34,99,24
2019,250077,Albatàrrec,190,846,114,182,737,152,372,1583,266
2019,250083,Albesa,117,573,165,94,416,191,211,989,356
2019,250096,"Albi, l'",62,221,106,46,207,122,108,428,228
2019,430022,Albinyana,186,826,231,167,773,255,353,1599,486
2019,430038,"Albiol, l'",50,166,37,40,159,33,90,325,70
2019,170046,Albons,55,275,71,57,247,71,112,522,142
2019,430043,Alcanar,677,3139,932,639,2970,1061,1316,6109,1993
2019,250100,Alcanó,19,69,31,12,69,35,31,138,66
2019,250117,Alcarràs,930,3511,516,833,3085,639,1763,6596,1155
2019,250122,Alcoletge,292,1269,214,311,1106,228,603,2375,442
2019,430056,Alcover,412,1683,404,442,1622,501,854,3305,905
2019,439044,"Aldea, l'",336,1428,433,276,1216,471,612,2644,904
2019,430069,Aldover,58,270,117,41,252,144,99,522,261
2019,430075,"Aleixar, l'",63,315,72,66,272,85,129,587,157
2019,080039,Alella,814,3015,933,745,3214,1080,1559,6229,2013
2019,430081,Alfara de Carles,15,130,54,18,101,59,33,231,113
2019,250138,Alfarràs,176,974,309,183,796,359,359,1770,668
2019,250143,Alfés,23,99,40,17,90,43,40,189,83
2019,430094,Alforja,122,640,159,126,562,192,248,1202,351
2019,250156,Algerri,19,122,65,11,90,79,30,212,144
2019,250169,Alguaire,197,1077,288,222,849,338,419,1926,626
2019,250175,Alins,17,80,47,13,81,38,30,161,85
2019,430108,Alió,27,124,57,42,148,41,69,272,98
2019,250194,Almacelles,500,2490,594,464,2004,739,964,4494,1333
2019,250208,Almatret,5,113,54,2,72,61,7,185,115
2019,250215,Almenar,238,1197,356,205,975,427,443,2172,783
2019,430115,Almoster,91,494,95,89,482,100,180,976,195
2019,250220,Alòs de Balaguer,6,42,26,5,28,23,11,70,49
2019,170062,Alp,99,617,112,91,543,118,190,1160,230
2019,080044,Alpens,21,105,18,17,81,24,38,186,42
2019,250236,Alpicat,590,2147,397,593,2060,468,1183,4207,865
2019,250241,Alt Àneu,22,158,51,12,121,41,34,279,92
2019,430120,Altafulla,453,1667,435,472,1726,490,925,3393,925
2019,170078,Amer,152,728,242,166,697,313,318,1425,555
2019,430136,"Ametlla de Mar, l'",488,2109,787,458,2061,884,946,4170,1671
2019,080057,"Ametlla del Vallès, l'",736,2949,592,653,2882,650,1389,5831,1242
2019,439060,"Ampolla, l'",181,1026,424,194,938,442,375,1964,866
2019,430141,Amposta,1802,6866,1781,1584,6585,2120,3386,13451,3901
2019,170084,Anglès,486,1836,458,469,1759,591,955,3595,1049
2019,250273,Anglesola,99,439,144,123,377,181,222,816,325
2019,250292,Arbeca,121,711,268,127,611,306,248,1322,574
2019,430167,"Arboç, l'",533,1910,409,493,1687,485,1026,3597,894
2019,430154,Arbolí,7,58,14,4,37,17,11,95,31
2019,170097,Arbúcies,569,2291,530,562,1956,648,1131,4247,1178
2019,080060,Arenys de Mar,1196,5104,1383,1066,5010,2017,2262,10114,3400
2019,080076,Arenys de Munt,771,3007,705,681,2913,854,1452,5920,1559
2019,170101,Argelaguer,18,144,43,20,127,45,38,271,88
2019,080082,Argençola,11,81,18,16,68,23,27,149,41
2019,430173,"Argentera, l'",0,51,19,4,30,20,4,81,39
2019,080095,Argentona,1059,4104,969,998,4089,1233,2057,8193,2202
2019,170118,"Armentera, l'",74,299,88,85,282,102,159,581,190
2019,430189,Arnes,23,115,86,21,121,89,44,236,175
2019,250313,Arres,2,33,7,3,18,2,5,51,9
2019,250328,Arsèguel,10,28,10,5,26,5,15,54,15
2019,080109,Artés,464,1946,458,446,1803,581,910,3749,1039
2019,250334,Artesa de Lleida,104,549,136,93,454,168,197,1003,304
2019,250349,Artesa de Segre,256,1156,354,237,1029,400,493,2185,754
2019,430192,Ascó,105,562,189,91,506,207,196,1068,396
2019,250365,Aspa,13,66,34,11,61,39,24,127,73
2019,250371,"Avellanes i Santa Linya, les",26,149,84,26,98,66,52,247,150
2019,080116,Avià,191,716,214,160,707,238,351,1423,452
2019,080121,Avinyó,173,751,203,158,687,303,331,1438,506
2019,170123,Avinyonet de Puigventós,147,560,89,156,564,94,303,1124,183
2019,080137,Avinyonet del Penedès,115,631,157,119,499,180,234,1130,337
2019,080155,Badalona,17695,72883,17931,16547,71832,23552,34242,144715,41483
2019,089045,Badia del Vallès,1060,4363,1144,999,4198,1616,2059,8561,2760
2019,080168,Bagà,128,676,260,109,651,314,237,1327,574
2019,250390,Baix Pallars,21,121,40,20,94,39,41,215,79
2019,250404,Balaguer,1534,5955,1257,1421,5254,1741,2955,11209,2998
2019,080174,Balenyà,318,1337,273,297,1232,364,615,2569,637
2019,080180,Balsareny,182,1088,292,200,961,436,382,2049,728
2019,430206,Banyeres del Penedès,278,1077,257,277,1008,273,555,2085,530
2019,170157,Banyoles,1844,6609,1420,1705,6306,1942,3549,12915,3362
2019,250411,Barbens,52,312,103,52,243,116,104,555,219
2019,430213,Barberà de la Conca,37,165,55,37,115,64,74,280,119
2019,082520,Barberà del Vallès,2846,11013,2441,2768,10925,3098,5614,21938,5539
2019,080193,Barcelona,105153,530511,139955,99601,551432,210110,204754,1081943,350065
2019,250426,"Baronia de Rialb, la",6,73,42,10,67,39,16,140,81
2019,170160,Bàscara,88,342,90,70,285,129,158,627,219
2019,250447,Bassella,11,68,33,10,72,30,21,140,63
2019,430228,Batea,132,547,265,121,520,305,253,1067,570
2019,250450,Bausen,0,17,13,2,15,11,2,32,24
2019,080207,Begues,667,2401,460,651,2443,476,1318,4844,936
2019,170139,Begur,232,1342,390,245,1268,448,477,2610,838
2019,250463,Belianes,29,157,83,24,150,82,53,307,165
2019,251706,Bellaguarda,15,96,41,7,77,51,22,173,92
2019,170182,Bellcaire d'Empordà,52,215,69,56,213,88,108,428,157
2019,250479,Bellcaire d'Urgell,79,403,145,77,342,184,156,745,329
