NAME,NATALIDAD
Almería,10.48
Cádiz,8.11
Córdoba,7.9
Granada,7.78
Huelva,7.57
Jaén,7.68
Málaga,8.14
Sevilla,8.71
Huesca,7.51
Teruel,7.1
Zaragoza,7.64
Cantabria,6.55
Albacete,7.75
Ciudad Real,7.41
Cuenca,6.29
Guadalajara,8.2
Toledo,8.24
Ávila,6.15
Burgos,6.62
León,5.68
Palencia,6.08
Salamanca,6.23
Segovia,6.85
Soria,6.78
Valladolid,6.65
Zamora,5.13
Barcelona,8.15
Girona,8.95
Lleida,8.11
Tarragona,8.26
Madrid,8.7
Navarra,8.34
Alicante,7.63
Castellón,8.03
Valencia,7.6
Badajoz,7.73
Cáceres,6.62
A Coruña,6.36
Lugo,5.94
Ourense,4.82
Pontevedra,6.35
Baleares,8.71
Las Palmas,6.83
Santa Cruz de Tenerife,6.54
La Rioja,7.45
Álava,8.22
Guipúzcoa,7.68
Vizcaya,6.99
Asturias,5.6
Murcia,9.86
